Pickup_Point__1,Type__1,Appendix__1,StartDate1,EndDate1
111020107,Miscellaneous,6014,01/09/2020,30/11/2020
111020107,Miscellaneous,6007,01/06/2020,31/12/2020
111020109,Miscellaneous,6014,01/09/2020,30/11/2020
111020109,Miscellaneous,6007,01/06/2020,31/12/2020
111020116,Miscellaneous,6014,01/09/2020,30/11/2020
111020116,Miscellaneous,6007,01/06/2020,31/12/2020
111020117,Miscellaneous,6014,01/09/2020,30/11/2020
111020117,Miscellaneous,6007,01/06/2020,31/12/2020
111020118,Miscellaneous,6014,01/09/2020,30/11/2020
111020118,Milk Collection (SE),955,01/09/2020,31/12/4000
111020118,Miscellaneous,6007,01/06/2020,31/12/2020
111020120,Miscellaneous,6014,01/09/2020,30/11/2020
111020120,Milk Collection (SE),955,01/09/2020,31/12/4000
111020120,Milk Collection (SE),950,01/09/2020,31/12/4000
111020120,Miscellaneous,6007,01/06/2020,31/12/2020
111020120,Milk Collection (SE),970,01/09/2020,31/12/4000
111020121,Miscellaneous,6007,01/06/2020,31/12/2020
111020121,Miscellaneous,6014,01/09/2020,30/11/2020
111020125,Miscellaneous,6007,01/06/2020,31/12/2020
111020125,Milk Collection (SE),955,01/09/2020,31/12/4000
111020125,Miscellaneous,6014,01/09/2020,30/11/2020
111020127,Miscellaneous,6014,01/09/2020,30/11/2020
111020127,Milk Collection (SE),955,01/09/2020,31/12/4000
111020127,Milk Collection (SE),970,01/09/2020,31/12/4000
111020127,Milk Collection (SE),957,01/09/2020,31/12/4000
111020127,Miscellaneous,6007,01/06/2020,31/12/2020
111020138,Miscellaneous,6014,01/09/2020,30/11/2020
111020138,Miscellaneous,6007,01/06/2020,31/12/2020
111020138,Milk Standard (SE),OR,01/09/2020,31/12/4000
111020159,Miscellaneous,6014,01/09/2020,30/11/2020
111020159,Miscellaneous,6007,01/06/2020,31/12/2020
111020159,Milk Collection (SE),970,01/09/2020,31/12/4000
111020159,Milk Collection (SE),950,01/09/2020,31/12/4000
111020168,Miscellaneous,6007,01/06/2020,31/12/2020
111020168,Miscellaneous,6014,01/09/2020,30/11/2020
111020168,Milk Collection (SE),950,01/09/2020,31/12/4000
111020172,Miscellaneous,6007,01/06/2020,31/12/2020
111020172,Miscellaneous,6014,01/09/2020,30/11/2020
111020201,Miscellaneous,6014,01/09/2020,30/11/2020
111020201,Milk Collection (SE),957,01/09/2020,31/12/4000
111020201,Milk Collection (SE),955,01/09/2020,31/12/4000
111020201,Milk Collection (SE),950,01/09/2020,31/12/4000
111020201,Miscellaneous,6007,01/06/2020,31/12/2020
111020201,Milk Collection (SE),970,01/09/2020,31/12/4000
111020204,Miscellaneous,6014,01/09/2020,30/11/2020
111020204,Miscellaneous,6007,01/06/2020,31/12/2020
111020211,Milk Collection (SE),955,01/09/2020,31/12/4000
111020211,Miscellaneous,6014,01/09/2020,30/11/2020
111020211,Miscellaneous,6007,01/06/2020,31/12/2020
111020214,Miscellaneous,6014,01/09/2020,30/11/2020
111020214,Miscellaneous,6007,01/06/2020,31/12/2020
111020232,Miscellaneous,6007,01/06/2020,31/12/2020
111020232,Miscellaneous,6014,01/09/2020,30/11/2020
111020254,Milk Collection (SE),955,01/09/2020,31/12/4000
111020254,Miscellaneous,6014,01/09/2020,30/11/2020
111020254,Miscellaneous,6007,01/06/2020,31/12/2020
111020255,Milk Collection (SE),970,01/09/2020,31/12/4000
111020255,Milk Collection (SE),955,01/09/2020,31/12/4000
111020255,Miscellaneous,6014,01/09/2020,30/11/2020
111020255,Milk Collection (SE),957,01/09/2020,31/12/4000
111020255,Miscellaneous,6007,01/09/2020,31/12/2020
111020257,Milk Collection (SE),955,01/09/2020,31/12/4000
111020262,Milk Collection (SE),955,01/09/2020,31/12/4000
111020360,Miscellaneous,6014,01/09/2020,30/11/2020
111020360,Miscellaneous,6007,01/06/2020,31/12/2020
111020361,Milk Collection (SE),950,01/09/2020,31/12/4000
111020361,Miscellaneous,6014,01/09/2020,30/11/2020
111020361,Milk Collection (SE),955,01/09/2020,31/12/4000
111020361,Milk Collection (SE),970,01/09/2020,31/12/4000
111020361,Miscellaneous,6007,01/06/2020,31/12/2020
111020363,Milk Collection (SE),955,01/09/2020,31/12/4000
111020372,Miscellaneous,6014,01/09/2020,30/11/2020
111020372,Miscellaneous,6007,01/06/2020,31/12/2020
111020373,Miscellaneous,6014,01/09/2020,30/11/2020
111020373,Miscellaneous,6007,01/06/2020,31/12/2020
111020376,Miscellaneous,6007,01/06/2020,31/12/2020
111020376,Milk Collection (SE),957,01/09/2020,31/12/4000
111020376,Miscellaneous,6014,01/09/2020,30/11/2020
111020376,Milk Collection (SE),955,01/09/2020,31/12/4000
111020379,Milk Collection (SE),955,01/09/2020,31/12/4000
111020405,Miscellaneous,6014,01/09/2020,30/11/2020
111020405,Miscellaneous,6007,01/06/2020,31/12/2020
111020414,Miscellaneous,6014,01/09/2020,30/11/2020
111020414,Milk Collection (SE),955,01/09/2020,31/12/4000
111020414,Milk Collection (SE),950,01/09/2020,31/12/4000
111020414,Miscellaneous,6007,01/06/2020,31/12/2020
111020415,Miscellaneous,6007,01/06/2020,31/12/2020
111020415,Miscellaneous,6014,01/09/2020,30/11/2020
111020420,Miscellaneous,6007,01/06/2020,31/12/2020
111020420,Miscellaneous,6014,01/09/2020,30/11/2020
111020421,Milk Collection (SE),950,01/09/2020,31/12/4000
111020421,Milk Collection (SE),970,01/09/2020,31/12/4000
111020421,Miscellaneous,6007,01/06/2020,31/12/2020
111020421,Miscellaneous,6014,01/09/2020,30/11/2020
111020426,Miscellaneous,6014,01/09/2020,30/11/2020
111020426,Milk Collection (SE),950,01/09/2020,31/12/4000
111020426,Miscellaneous,6007,01/06/2020,31/12/2020
111020440,Milk Standard (SE),OR,01/09/2020,31/12/4000
111020440,Miscellaneous,6014,01/09/2020,30/11/2020
111020440,Miscellaneous,6007,01/06/2020,31/12/2020
111020441,Milk Standard (SE),OR,01/09/2020,31/12/4000
111020441,Milk Collection (SE),970,01/09/2020,31/12/4000
111020441,Miscellaneous,6014,01/09/2020,30/11/2020
111020441,Milk Collection (SE),950,01/09/2020,31/12/4000
111020441,Miscellaneous,6007,01/06/2020,31/12/2020
111021101,Milk Collection (SE),955,01/09/2020,31/12/4000
111021101,Miscellaneous,6014,01/09/2020,30/11/2020
111021101,Milk Collection (SE),970,01/09/2020,31/12/4000
111021101,Miscellaneous,6007,01/06/2020,31/12/2020
111021105,Miscellaneous,6014,01/09/2020,30/11/2020
111021105,Milk Collection (SE),955,01/09/2020,31/12/4000
111021105,Miscellaneous,6007,01/06/2020,31/12/2020
111021112,Miscellaneous,6014,01/09/2020,30/11/2020
111021112,Milk Collection (SE),955,01/09/2020,31/12/4000
111021112,Miscellaneous,6007,01/06/2020,31/12/2020
111021112,Milk Collection (SE),950,01/09/2020,31/12/4000
111021154,Milk Collection (SE),955,01/09/2020,31/12/4000
111021154,Miscellaneous,6007,01/06/2020,31/12/2020
111021154,Milk Collection (SE),970,01/09/2020,31/12/4000
111021154,Milk Collection (SE),950,01/09/2020,31/12/4000
111021154,Miscellaneous,6014,01/09/2020,30/11/2020
111021166,Miscellaneous,6014,01/09/2020,30/11/2020
111021166,Miscellaneous,6007,01/06/2020,31/12/2020
111021166,Milk Standard (SE),OR,01/09/2020,31/12/4000
111021203,Miscellaneous,6007,01/06/2020,31/12/2020
111021203,Miscellaneous,6014,01/09/2020,30/11/2020
111021224,Miscellaneous,6007,01/06/2020,31/12/2020
111021224,Milk Collection (SE),955,01/09/2020,31/12/4000
111021224,Milk Collection (SE),970,01/09/2020,31/12/4000
111021224,Miscellaneous,6014,01/09/2020,30/11/2020
111021254,Miscellaneous,6014,01/09/2020,30/11/2020
111021254,Miscellaneous,6007,01/06/2020,31/12/2020
111021255,Milk Collection (SE),970,01/09/2020,31/12/4000
111021255,Miscellaneous,6014,01/09/2020,30/11/2020
111021255,Milk Collection (SE),950,01/09/2020,31/12/4000
111021255,Milk Collection (SE),955,01/09/2020,31/12/4000
111021255,Miscellaneous,6007,01/06/2020,31/12/2020
111021268,Miscellaneous,6014,01/09/2020,30/11/2020
111021268,Milk Collection (SE),955,01/09/2020,31/12/4000
111021270,Milk Collection (SE),955,01/09/2020,31/12/4000
111021275,Miscellaneous,6014,01/09/2020,30/11/2020
111021308,Miscellaneous,6014,01/09/2020,30/11/2020
111021325,Miscellaneous,6007,01/06/2020,31/12/2020
111021325,Milk Collection (SE),955,01/09/2020,31/12/4000
111021325,Milk Collection (SE),950,01/09/2020,31/12/4000
111021325,Milk Collection (SE),970,01/09/2020,31/12/4000
111021325,Miscellaneous,6014,01/09/2020,30/11/2020
111021328,Miscellaneous,6014,01/09/2020,30/11/2020
111021328,Miscellaneous,6007,01/06/2020,31/12/2020
111021336,Milk Collection (SE),950,01/09/2020,31/12/4000
111021336,Miscellaneous,6007,01/06/2020,31/12/2020
111021336,Miscellaneous,6014,01/09/2020,30/11/2020
111021336,Milk Collection (SE),970,01/09/2020,31/12/4000
111021336,Milk Collection (SE),955,01/09/2020,31/12/4000
111021353,Milk Collection (SE),955,01/09/2020,31/12/4000
111021353,Miscellaneous,6007,01/06/2020,31/12/2020
111021353,Miscellaneous,6014,01/09/2020,30/11/2020
111021355,Miscellaneous,6014,01/09/2020,30/11/2020
111021355,Miscellaneous,6007,01/06/2020,31/12/2020
111021357,Miscellaneous,6014,01/09/2020,30/11/2020
111021357,Miscellaneous,6007,01/06/2020,31/12/2020
111021357,Milk Collection (SE),950,01/09/2020,31/12/4000
111021357,Milk Standard (SE),OR,01/09/2020,31/12/4000
111021357,Milk Collection (SE),955,01/09/2020,31/12/4000
111021361,Miscellaneous,6014,01/09/2020,30/11/2020
111021361,Milk Collection (SE),950,01/09/2020,31/12/4000
111021361,Milk Collection (SE),955,01/09/2020,31/12/4000
111021361,Miscellaneous,6007,01/06/2020,31/12/2020
111021368,Miscellaneous,6014,01/09/2020,30/11/2020
111021368,Miscellaneous,6007,01/06/2020,31/12/2020
111021369,Milk Collection (SE),950,01/09/2020,31/12/4000
111021369,Miscellaneous,6014,01/09/2020,30/11/2020
111021369,Miscellaneous,6007,01/06/2020,31/12/2020
111021370,Milk Collection (SE),950,01/09/2020,31/12/4000
111021370,Milk Collection (SE),955,01/09/2020,31/12/4000
111021370,Miscellaneous,6007,01/06/2020,31/12/2020
111021370,Miscellaneous,6014,01/09/2020,30/11/2020
111021413,Miscellaneous,6014,01/09/2020,30/11/2020
111021413,Milk Collection (SE),970,01/09/2020,31/12/4000
111021413,Miscellaneous,6007,01/06/2020,31/12/2020
111021413,Milk Collection (SE),950,01/09/2020,31/12/4000
111021413,Milk Collection (SE),955,01/09/2020,31/12/4000
111021416,Miscellaneous,6014,01/09/2020,30/11/2020
111021416,Milk Collection (SE),955,01/09/2020,31/12/4000
111021416,Miscellaneous,6007,01/06/2020,31/12/2020
111021417,Milk Collection (SE),955,01/09/2020,31/12/4000
111021417,Miscellaneous,6014,01/09/2020,30/11/2020
